LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.028978868805027858
Amygdala;DICE;STD;0.029378221942836034
Amygdala;HDRFDST;MEAN;inf
Amygdala;HDRFDST;STD;nan
GreyMatter;DICE;MEAN;0.17013207312058298
GreyMatter;DICE;STD;0.16964680248952252
GreyMatter;HDRFDST;MEAN;34.60971042943305
GreyMatter;HDRFDST;STD;27.057678096813728
Hippocampus;DICE;MEAN;0.04982339742884952
Hippocampus;DICE;STD;0.05021315701622097
Hippocampus;HDRFDST;MEAN;inf
Hippocampus;HDRFDST;STD;nan
Thalamus;DICE;MEAN;0.10608667198246109
Thalamus;DICE;STD;0.08870579628116602
Thalamus;HDRFDST;MEAN;34.361752629994804
Thalamus;HDRFDST;STD;13.405967186109523
WhiteMatter;DICE;MEAN;0.3339432630619149
WhiteMatter;DICE;STD;0.32515604046097496
WhiteMatter;HDRFDST;MEAN;27.940976436031114
WhiteMatter;HDRFDST;STD;20.563361490796044

# 50 estimators / depth 5 --> runtime 13min
