SUBJECT;LABEL;DICE
117122;Amygdala;0.0
117122;GreyMatter;0.506886581767436
117122;Hippocampus;0.0
117122;Thalamus;0.18128727531412595
117122;WhiteMatter;0.7104493144806786
117122-PP;Amygdala;0.0
117122-PP;GreyMatter;0.506886581767436
117122-PP;Hippocampus;0.0
117122-PP;Thalamus;0.18128727531412595
117122-PP;WhiteMatter;0.7104493144806786
118528;Amygdala;0.0
118528;GreyMatter;0.26276774885920445
118528;Hippocampus;0.0
118528;Thalamus;0.11615639521964698
118528;WhiteMatter;0.47072999346806277
118528-PP;Amygdala;0.0
118528-PP;GreyMatter;0.26276774885920445
118528-PP;Hippocampus;0.0
118528-PP;Thalamus;0.11615639521964698
118528-PP;WhiteMatter;0.47072999346806277
118730;Amygdala;0.0
118730;GreyMatter;0.4671195521982848
118730;Hippocampus;0.0
118730;Thalamus;0.16510549328377402
118730;WhiteMatter;0.602514079854476
118730-PP;Amygdala;0.0
118730-PP;GreyMatter;0.4671195521982848
118730-PP;Hippocampus;0.0
118730-PP;Thalamus;0.16510549328377402
118730-PP;WhiteMatter;0.602514079854476
118932;Amygdala;0.0
118932;GreyMatter;0.496628159170255
118932;Hippocampus;0.0
118932;Thalamus;0.16104317905924156
118932;WhiteMatter;0.7102942743076869
118932-PP;Amygdala;0.0
118932-PP;GreyMatter;0.496628159170255
118932-PP;Hippocampus;0.0
118932-PP;Thalamus;0.16104317905924156
118932-PP;WhiteMatter;0.7102942743076869
120111;Amygdala;0.0
120111;GreyMatter;0.4552867618866478
120111;Hippocampus;0.0
120111;Thalamus;0.16797851191255195
120111;WhiteMatter;0.6406683791287201
120111-PP;Amygdala;0.0
120111-PP;GreyMatter;0.4552867618866478
120111-PP;Hippocampus;0.0
120111-PP;Thalamus;0.16797851191255195
120111-PP;WhiteMatter;0.6406683791287201
122317;Amygdala;0.0
122317;GreyMatter;0.4994529127809402
122317;Hippocampus;0.0
122317;Thalamus;0.14430628272251309
122317;WhiteMatter;0.624652276976645
122317-PP;Amygdala;0.0
122317-PP;GreyMatter;0.4994529127809402
122317-PP;Hippocampus;0.0
122317-PP;Thalamus;0.14430628272251309
122317-PP;WhiteMatter;0.624652276976645
122620;Amygdala;0.0
122620;GreyMatter;0.49080552215264006
122620;Hippocampus;0.0
122620;Thalamus;0.14744378186259957
122620;WhiteMatter;0.6137480583494602
122620-PP;Amygdala;0.0
122620-PP;GreyMatter;0.49080552215264006
122620-PP;Hippocampus;0.0
122620-PP;Thalamus;0.14744378186259957
122620-PP;WhiteMatter;0.6137480583494602
123117;Amygdala;0.0
123117;GreyMatter;0.3421760870951894
123117;Hippocampus;0.0
123117;Thalamus;0.0039450113720991085
123117;WhiteMatter;0.4225228860388905
123117-PP;Amygdala;0.0
123117-PP;GreyMatter;0.3421760870951894
123117-PP;Hippocampus;0.0
123117-PP;Thalamus;0.0039450113720991085
123117-PP;WhiteMatter;0.4225228860388905
123925;Amygdala;0.0
123925;GreyMatter;0.40448555118749596
123925;Hippocampus;0.0
123925;Thalamus;0.15612356991667337
123925;WhiteMatter;0.5399333938295653
123925-PP;Amygdala;0.0
123925-PP;GreyMatter;0.40448555118749596
123925-PP;Hippocampus;0.0
123925-PP;Thalamus;0.15612356991667337
123925-PP;WhiteMatter;0.5399333938295653
124422;Amygdala;0.0
124422;GreyMatter;0.37487720446280876
124422;Hippocampus;0.0
124422;Thalamus;0.14153383284635634
124422;WhiteMatter;0.4912196115653296
124422-PP;Amygdala;0.0
124422-PP;GreyMatter;0.37487720446280876
124422-PP;Hippocampus;0.0
124422-PP;Thalamus;0.14153383284635634
124422-PP;WhiteMatter;0.4912196115653296
